epoch_no,created,consumed,net_change,utxo_count_end,ordinary_created,collateral_return_created,ordinary_consumed,collateral_consumed
0,52,38,14,14,52,0,38,0
1,18709,13900,4809,4823,18709,0,13900,0
2,7132,4686,2446,7269,7132,0,4686,0
3,5708,3623,2085,9354,5708,0,3623,0
4,6586,3872,2714,12068,6586,0,3872,0
5,4846,2966,1880,13948,4846,0,2966,0
6,4550,2762,1788,15736,4550,0,2762,0
7,5068,3104,1964,17700,5068,0,3104,0
8,3806,2259,1547,19247,3806,0,2259,0
9,4233,2660,1573,20820,4233,0,2660,0
10,3995,2427,1568,22388,3995,0,2427,0
11,4993,2942,2051,24439,4993,0,2942,0
12,6547,4026,2521,26960,6547,0,4026,0
13,23448,14688,8760,35720,23448,0,14688,0
14,27762,17875,9887,45607,27762,0,17875,0
15,26712,17205,9507,55114,26712,0,17205,0
16,55285,36297,18988,74102,55285,0,36297,0
17,81395,46708,34687,108789,81395,0,46708,0
18,48744,26751,21993,130782,48744,0,26751,0
19,43904,24920,18984,149766,43904,0,24920,0
20,30124,18645,11479,161245,30124,0,18645,0
21,42818,25122,17696,178941,42818,0,25122,0
22,52448,29050,23398,202339,52448,0,29050,0
23,44485,24712,19773,222112,44485,0,24712,0
24,35677,16298,19379,241491,35677,0,16298,0
25,35400,15914,19486,260977,35400,0,15914,0
26,34519,16402,18117,279094,34519,0,16402,0
27,29656,79589,-49933,229161,29656,0,79589,0
28,30397,17483,12914,242075,30397,0,17483,0
29,27830,17154,10676,252751,27830,0,17154,0
30,23154,14058,9096,261847,23154,0,14058,0
31,36112,24024,12088,273935,36112,0,24024,0
32,30562,20386,10176,284111,30562,0,20386,0
33,32741,19470,13271,297382,32741,0,19470,0
34,27062,18485,8577,305959,27062,0,18485,0
35,33419,21031,12388,318347,33419,0,21031,0
36,26568,17833,8735,327082,26568,0,17833,0
37,21120,13901,7219,334301,21120,0,13901,0
38,27734,18763,8971,343272,27734,0,18763,0
39,21883,15375,6508,349780,21883,0,15375,0
40,31042,22318,8724,358504,31042,0,22318,0
41,36922,25629,11293,369797,36922,0,25629,0
42,30965,21912,9053,378850,30965,0,21912,0
43,37615,26741,10874,389724,37615,0,26741,0
44,27433,18719,8714,398438,27433,0,18719,0
45,26154,19269,6885,405323,26154,0,19269,0
46,21640,14530,7110,412433,21640,0,14530,0
47,19013,13212,5801,418234,19013,0,13212,0
48,22850,14491,8359,426593,22850,0,14491,0
49,25095,17036,8059,434652,25095,0,17036,0
50,20767,13780,6987,441639,20767,0,13780,0
51,14515,9287,5228,446867,14515,0,9287,0
52,20868,17277,3591,450458,20868,0,17277,0
53,13321,10543,2778,453236,13321,0,10543,0
54,16380,10235,6145,459381,16380,0,10235,0
55,15259,12893,2366,461747,15259,0,12893,0
56,17835,12147,5688,467435,17835,0,12147,0
57,12526,8483,4043,471478,12526,0,8483,0
58,13394,8947,4447,475925,13394,0,8947,0
59,20644,14896,5748,481673,20644,0,14896,0
60,20183,14526,5657,487330,20183,0,14526,0
61,12844,9225,3619,490949,12844,0,9225,0
62,13830,8619,5211,496160,13830,0,8619,0
63,10492,7549,2943,499103,10492,0,7549,0
64,16156,10851,5305,504408,16156,0,10851,0
65,15698,11052,4646,509054,15698,0,11052,0
66,14015,13813,202,509256,14015,0,13813,0
67,15112,36040,-20928,488328,15112,0,36040,0
68,14343,11072,3271,491599,14343,0,11072,0
69,16554,13203,3351,494950,16554,0,13203,0
70,18189,13168,5021,499971,18189,0,13168,0
71,14513,10453,4060,504031,14513,0,10453,0
72,18803,16187,2616,506647,18803,0,16187,0
73,19115,13636,5479,512126,19115,0,13636,0
74,16640,12071,4569,516695,16640,0,12071,0
75,13668,10213,3455,520150,13668,0,10213,0
76,13499,10208,3291,523441,13499,0,10208,0
77,15912,15698,214,523655,15912,0,15698,0
78,12874,10119,2755,526410,12874,0,10119,0
79,14113,9856,4257,530667,14113,0,9856,0
80,13669,10574,3095,533762,13669,0,10574,0
81,16013,11673,4340,538102,16013,0,11673,0
82,13741,10105,3636,541738,13741,0,10105,0
83,16412,11451,4961,546699,16412,0,11451,0
84,6766,5097,1669,548368,6766,0,5097,0
85,13656,8885,4771,553139,13656,0,8885,0
86,17099,10749,6350,559489,17099,0,10749,0
87,19523,59052,-39529,519960,19523,0,59052,0
88,13502,8799,4703,524663,13502,0,8799,0
89,15567,19081,-3514,521149,15567,0,19081,0
90,21971,18137,3834,524983,21971,0,18137,0
91,19370,18163,1207,526190,19370,0,18163,0
92,16397,11932,4465,530655,16397,0,11932,0
93,17880,14162,3718,534373,17880,0,14162,0
94,22322,17385,4937,539310,22322,0,17385,0
95,15762,12462,3300,542610,15762,0,12462,0
96,17752,14950,2802,545412,17752,0,14950,0
97,14384,10476,3908,549320,14384,0,10476,0
98,18417,14150,4267,553587,18417,0,14150,0
99,13420,10383,3037,556624,13420,0,10383,0
100,14707,11819,2888,559512,14707,0,11819,0
101,15105,11914,3191,562703,15105,0,11914,0
102,18406,14316,4090,566793,18406,0,14316,0
103,17004,12479,4525,571318,17004,0,12479,0
104,17507,18745,-1238,570080,17507,0,18745,0
105,17177,33214,-16037,554043,17177,0,33214,0
106,24770,38130,-13360,540683,24770,0,38130,0
107,25539,28728,-3189,537494,25539,0,28728,0
108,31248,32630,-1382,536112,31248,0,32630,0
109,39561,40211,-650,535462,39561,0,40211,0
110,46050,47617,-1567,533895,46050,0,47617,0
111,54359,53417,942,534837,54359,0,53417,0
112,36418,35442,976,535813,36418,0,35442,0
113,28735,32312,-3577,532236,28735,0,32312,0
114,32309,33274,-965,531271,32309,0,33274,0
115,33506,34401,-895,530376,33506,0,34401,0
116,21882,21897,-15,530361,21882,0,21897,0
117,31338,28983,2355,532716,31338,0,28983,0
118,28280,30106,-1826,530890,28280,0,30106,0
119,47028,51990,-4962,525928,47028,0,51990,0
120,44230,43337,893,526821,44230,0,43337,0
121,42107,39584,2523,529344,42107,0,39584,0
122,48754,46545,2209,531553,48754,0,46545,0
123,45091,43745,1346,532899,45091,0,43745,0
124,36530,35087,1443,534342,36530,0,35087,0
125,40696,45252,-4556,529786,40696,0,45252,0
126,39479,38731,748,530534,39479,0,38731,0
127,45067,45532,-465,530069,45067,0,45532,0
128,45548,46058,-510,529559,45548,0,46058,0
129,35757,35095,662,530221,35757,0,35095,0
130,34301,32678,1623,531844,34301,0,32678,0
131,33605,32640,965,532809,33605,0,32640,0
132,31400,30205,1195,534004,31400,0,30205,0
133,24058,22517,1541,535545,24058,0,22517,0
134,20299,18873,1426,536971,20299,0,18873,0
135,24248,22620,1628,538599,24248,0,22620,0
136,27499,26847,652,539251,27499,0,26847,0
137,20817,21089,-272,538979,20817,0,21089,0
138,21638,21721,-83,538896,21638,0,21721,0
139,19659,19915,-256,538640,19659,0,19915,0
140,22443,20603,1840,540480,22443,0,20603,0
141,20344,19419,925,541405,20344,0,19419,0
142,20023,18381,1642,543047,20023,0,18381,0
143,21879,19912,1967,545014,21879,0,19912,0
144,19133,19634,-501,544513,19133,0,19634,0
145,17391,17625,-234,544279,17391,0,17625,0
146,22332,22938,-606,543673,22332,0,22938,0
147,16878,15791,1087,544760,16878,0,15791,0
148,19946,17060,2886,547646,19946,0,17060,0
149,14348,13780,568,548214,14348,0,13780,0
150,15259,16666,-1407,546807,15259,0,16666,0
151,16092,16377,-285,546522,16092,0,16377,0
152,24660,25288,-628,545894,24660,0,25288,0
153,19667,28827,-9160,536734,19667,0,28827,0
154,22059,21841,218,536952,22059,0,21841,0
155,30853,33930,-3077,533875,30853,0,33930,0
156,19648,20830,-1182,532693,19648,0,20830,0
157,22970,22147,823,533516,22970,0,22147,0
158,24096,24303,-207,533309,24096,0,24303,0
159,30834,33293,-2459,530850,30834,0,33293,0
160,12868,12569,299,531149,12868,0,12569,0
161,13182,13479,-297,530852,13182,0,13479,0
162,16401,16379,22,530874,16401,0,16379,0
163,16606,17032,-426,530448,16606,0,17032,0
164,14808,14076,732,531180,14808,0,14076,0
165,13873,14194,-321,530859,13873,0,14194,0
166,14355,14266,89,530948,14355,0,14266,0
167,17541,17081,460,531408,17541,0,17081,0
168,20149,19582,567,531975,20149,0,19582,0
169,22359,22457,-98,531877,22359,0,22457,0
170,17284,16375,909,532786,17284,0,16375,0
171,31290,31681,-391,532395,31290,0,31681,0
172,33330,32783,547,532942,33330,0,32783,0
173,35379,33417,1962,534904,35379,0,33417,0
174,43070,42033,1037,535941,43070,0,42033,0
175,36788,39569,-2781,533160,36788,0,39569,0
176,29075,26406,2669,535829,29075,0,26406,0
177,34764,32790,1974,537803,34764,0,32790,0
178,28853,26527,2326,540129,28853,0,26527,0
179,32173,30367,1806,541935,32173,0,30367,0
180,52969,50758,2211,544146,52969,0,50758,0
181,36588,33810,2778,546924,36588,0,33810,0
182,31742,28533,3209,550133,31742,0,28533,0
183,31798,26844,4954,555087,31798,0,26844,0
184,32306,32666,-360,554727,32306,0,32666,0
185,35764,33419,2345,557072,35764,0,33419,0
186,32269,28340,3929,561001,32269,0,28340,0
187,36584,32522,4062,565063,36584,0,32522,0
188,47996,44436,3560,568623,47996,0,44436,0
189,59882,55968,3914,572537,59882,0,55968,0
190,48626,44366,4260,576797,48626,0,44366,0
191,54201,50124,4077,580874,54201,0,50124,0
192,52197,48456,3741,584615,52197,0,48456,0
193,52788,47358,5430,590045,52788,0,47358,0
194,55087,49437,5650,595695,55087,0,49437,0
195,68951,64768,4183,599878,68951,0,64768,0
196,94412,91240,3172,603050,94412,0,91240,0
197,72554,63860,8694,611744,72554,0,63860,0
198,66829,57891,8938,620682,66829,0,57891,0
199,66738,60030,6708,627390,66738,0,60030,0
200,58914,50746,8168,635558,58914,0,50746,0
201,61253,56937,4316,639874,61253,0,56937,0
202,77093,74934,2159,642033,77093,0,74934,0
203,112087,99842,12245,654278,112087,0,99842,0
204,78997,64550,14447,668725,78997,0,64550,0
205,75313,60049,15264,683989,75313,0,60049,0
